,id,title,id_no_spaces,cas_confirmes,en_traitement,gueris,formes_graves,deces,date
0,ALAOTRA MANGORO,,ALAOTRA_MANGORO,463,233,229,0,01,2020-08-17
1,AMORONI MANIA,,AMORONI_MANIA,59,59,0,0,0,2020-08-17
2,ANALAMANGA,,ANALAMANGA,10797,3120,7592,60,85,2020-08-17
3,ANALANJIROFO,,ANALANJIROFO,113,35,77,0,01,2020-08-17
4,ANDROY,,ANDROY,06,0,08,0,0,2020-08-17
5,ANOSY,,ANOSY,89,33,55,0,01,2020-08-17
6,ATSIMO ANDREFANA,,ATSIMO_ANDREFANA,154,62,88,04,04,2020-08-17
7,ATSIMO ANTSINANANA,,ATSIMO_ANTSINANANA,04,0,05,0,0,2020-08-17
8,ATSINANANA,ATSINANANA,ATSINANANA,888,278,594,0,16,2020-08-17
9,BETSIBOKA,,BETSIBOKA,39,05,33,0,01,2020-08-17
10,BOENY,,BOENY,352,172,171,06,09,2020-08-17
11,BONGOLAVA,,BONGOLAVA,97,03,94,0,0,2020-08-17
12,DIANA,,DIANA,146,95,47,0,04,2020-08-17
13,IHOROMBE,,IHOROMBE,13,08,04,0,01,2020-08-17
14,ITASY,,ITASY,94,79,15,0,0,2020-08-17
15,MATSIATRA AMBONY,,MATSIATRA_AMBONY,217,158,53,15,06,2020-08-17
16,MELAKY,,MELAKY,0,0,0,0,0,2020-08-17
17,MENABE,,MENABE,51,48,01,0,01,2020-08-17
18,SAVA,,SAVA,44,30,14,0,0,2020-08-17
19,SOFIA,,SOFIA,50,21,28,0,01,2020-08-17
20,VAKINANKARATRA,,VAKINANKARATRA,159,93,73,05,05,2020-08-17
21,VATOVAVY FITOVINANY,,VATOVAVY_FITOVINANY,27,05,26,0,0,2020-08-17
