,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop
0,1,USA,b'5589117',b'23063.0',b'1734350',b'308.0',b'2931740.0',b'9016.0',b'2483942',b'17222.0',b'16873.0',b'524.0'
1,2,Brazil,b'3343925',b'3728.0',b'1080540',b'175.0',b'2432456.0',b'0.0',b'803415',b'8318.0',b'15717.0',b'508.0'
2,3,India,b'2701604',b'54288.0',b'519250',b'880.0',b'1976248.0',b'58172.0',b'673431',b'8944.0',b'1955.0',b'38.0'
3,4,Russia,b'927745',b'4892.0',b'157400',b'55.0',b'736101.0',b'3133.0',b'175904',b'2300.0',b'6357.0',b'108.0'
4,5,South Africa,b'587345',b'0.0',b'118390',b'0.0',b'472377.0',b'0.0',b'103129',b'539.0',b'9888.0',b'199.0'
5,6,Peru,b'535946',b'0.0',b'262810',b'0.0',b'365367.0',b'0.0',b'144298',b'1533.0',b'16227.0',b'796.0'
6,7,Mexico,b'522162',b'4448.0',b'567570',b'214.0',b'355101.0',b'3729.0',b'110304',b'3489.0',b'4045.0',b'440.0'
7,8,Colombia,b'468332',b'0.0',b'150970',b'0.0',b'287436.0',b'0.0',b'165799',b'1493.0',b'9192.0',b'296.0'
8,9,Chile,b'387502',b'1556.0',b'105130',b'61.0',b'360385.0',b'1557.0',b'16604',b'1177.0',b'20249.0',b'549.0'
9,10,Spain,b'358843',b'0.0',b'286170',b'0.0',b'0.0',b'0.0',b'0',b'617.0',b'7675.0',b'612.0'
10,11,Iran,b'345450',b'2247.0',b'198040',b'165.0',b'299157.0',b'1671.0',b'26489',b'3773.0',b'4106.0',b'235.0'
11,12,UK,b'319197',b'713.0',b'413690',b'3.0',b'0.0',b'0.0',b'0',b'73.0',b'4699.0',b'609.0'
12,13,Saudi Arabia,b'299914',b'1372.0',b'34360',b'28.0',b'268385.0',b'1432.0',b'28093',b'1758.0',b'8598.0',b'99.0'
13,14,Argentina,b'294569',b'0.0',b'57500',b'47.0',b'217850.0',b'6148.0',b'70969',b'1708.0',b'6510.0',b'127.0'
14,15,Pakistan,b'289215',b'498.0',b'61750',b'7.0',b'269087.0',b'2786.0',b'13953',b'771.0',b'1306.0',b'28.0'
15,16,Bangladesh,b'279144',b'2595.0',b'36940',b'37.0',b'160591.0',b'1641.0',b'114859',b'0.0',b'1693.0',b'22.0'
16,17,Italy,b'254235',b'320.0',b'354000',b'4.0',b'203968.0',b'182.0',b'14867',b'58.0',b'4206.0',b'586.0'
17,18,Turkey,b'250542',b'1233.0',b'59960',b'22.0',b'231971.0',b'1002.0',b'12575',b'686.0',b'2967.0',b'71.0'
18,19,Germany,b'226425',b'1428.0',b'92940',b'4.0',b'202900.0',b'0.0',b'14231',b'224.0',b'2701.0',b'111.0'
19,20,France,b'219029',b'493.0',b'304290',b'19.0',b'83848.0',b'0.0',b'104752',b'367.0',b'3355.0',b'466.0'
20,21,Iraq,b'180133',b'3202.0',b'59540',b'94.0',b'128945.0',b'3571.0',b'45234',b'605.0',b'4466.0',b'148.0'
21,22,Philippines,b'164474',b'3314.0',b'26810',b'18.0',b'112759.0',b'237.0',b'49034',b'461.0',b'1498.0',b'24.0'
22,23,Indonesia,b'141370',b'1821.0',b'62070',b'57.0',b'94458.0',b'1355.0',b'40705',b'0.0',b'516.0',b'23.0'
23,24,Canada,b'122276',b'189.0',b'90270',b'1.0',b'108657.0',b'173.0',b'4592',b'2296.0',b'3236.0',b'239.0'
24,25,Qatar,b'115368',b'288.0',b'1930',b'0.0',b'112088.0',b'294.0',b'3087',b'69.0',b'41088.0',b'69.0'
25,26,Kazakhstan,b'103033',b'337.0',b'12690',b'0.0',b'82777.0',b'1219.0',b'18987',b'221.0',b'5479.0',b'67.0'
26,27,Ecuador,b'101751',b'209.0',b'60830',b'13.0',b'87120.0',b'98.0',b'8548',b'339.0',b'5756.0',b'344.0'
27,28,Bolivia,b'100344',b'1198.0',b'40580',b'55.0',b'36491.0',b'853.0',b'59795',b'71.0',b'8582.0',b'347.0'
28,29,Egypt,b'96475',b'0.0',b'51600',b'0.0',b'59743.0',b'0.0',b'31572',b'41.0',b'941.0',b'50.0'
29,30,Israel,b'94277',b'1597.0',b'6920',b'7.0',b'70267.0',b'1757.0',b'23318',b'399.0',b'10250.0',b'75.0'
30,31,Ukraine,b'92820',b'1464.0',b'20890',b'19.0',b'48164.0',b'342.0',b'42567',b'138.0',b'2124.0',b'48.0'
31,32,Dominican Republic,b'86309',b'0.0',b'14530',b'0.0',b'52905.0',b'0.0',b'31951',b'303.0',b'7946.0',b'134.0'
